"beta","alpha","lambda","pi","rho","w_l","w_h"
0.703658688823036,0.820043826325265,0.204132996530607,0.949195433731798,0.891543972094118,0.999672510697769,0.678613619145194
0.827195041455982,0.864740865765338,0.46716971648857,0.606203471956835,0.975753480637979,0.922121547442366,0.577357646692597
0.765910893918735,0.823675240379074,0.718365456262191,0.121706091079497,0.160992306972135,0.999687311586815,0.748356766696932
0.73257250488082,0.846533246497586,0.20454810807221,0.94666445278813,-0.411684825888581,0.999884163998501,0.628017171058418
0.739348465614003,0.812099037439751,0.537882769569538,0.692066401710552,5.20541231346148,0.999790455344352,0.781055876383166
0.712442622984293,0.817586545998384,0.966926994108517,0.782360751566407,0.327274364289457,0.999514576306876,0.99426644191263
0.675124477132263,0.829301246687385,0.314677912878714,1.87667428744012,-15.8192160298571,0.999907201759257,0.999892614200105
0.823139789640947,0.849136792550339,0.543286487692967,1.0662511373606,0.674395723638644,0.874135230635964,0.759962985489445
2.55971243253219,0.976815749759271,0.393314776243642,0.72019486898149,0.296489590313286,0.951357714899899,0.352607363436343
0.577199597910145,0.815847617480466,0.306747526907368,0.477089736720382,0.823749583656893,0.999515876061415,0.69244643130849
0.679451321125623,0.787586886654574,0.100499171131808,1.46756224251658,1.42335500986654,0.99993413225232,0.812455075416122
0.958563339374438,0.903375784433061,0.494885330786929,0.325936954714673,0.508864055154845,0.998043289724039,0.500775795680988
1.13886923360192,0.916273496445218,0.604230646975338,0.853418607028095,0.76686239708215,0.883169084599902,0.598496061749756
0.704715566385821,0.792411683980071,0.599287273464168,0.246138555159895,0.629091191703785,0.999760342138419,0.784349000378317
0.788773929402743,0.81096597096025,0.730242929654196,0.474735884158258,1.04506122253573,0.930472368760998,0.918035489911887
0.825977005835802,0.853126866623384,0.0440524984151125,0.742606768968916,0.712690871208906,0.912387180742612,0.625535337997979
1.62365960230359,0.952904470358772,0.96721707245083,1.05520876759282,0.766125868462805,0.869043100051708,0.411722772711571
0.787799237499742,0.862025983232449,0.706317128368029,0.364710442187121,0.284363516314594,0.995899986126935,0.705483545829474
1.03115245162533,0.812288558672075,0.00825843458314332,0.500398046149625,1.76909592029441,0.503046580869907,0.357128304752258
0.744461409232714,0.858972491841596,0.441733112141052,0.991313487012117,2.12090523814436,0.999950352426629,0.699483639142184
0.820593058151764,0.818232329022266,0.248920793179423,0.608637775321016,1.42791317832366,0.889661359392703,0.685287523534338
0.888735411295337,0.791093516030292,0.0525394666474313,0.746550984843691,0.425149442395195,0.78586511350486,0.641016456065699
0.690605278110475,0.801623328311461,0.180334502938249,1.25767480485419,0.687807684523988,0.994638012677393,0.869132230272032
0.737040076560878,0.845575021808476,0.678789285367506,0.666339841766278,1.39950362282698,0.999987423437551,0.69973489664031
1.04047963532725,0.856135849300284,0.564288419904187,0.155865630722571,0.972467338914142,0.750777373999761,0.584535797195216
0.906654837384513,0.813256035415813,0.154617316089571,0.269320882746557,0.789180135919536,0.80019452496858,0.732359464420028
0.761374512671352,0.799559614153072,0.949236775981262,0.232331538977503,0.414819177216429,0.995917440599725,0.824713262915148
0.915645377968573,0.887078822296109,0.14711569893361,0.603494531153283,0.188165433799685,0.918192344588966,0.499766648695971
