day,subject,trial,s2,c1,c2,r,stim1_l,stim1_r,stim2_l,stim2_r,stake
1,mj1berj703,67.0,2,2,2,0.0,2,1,1,2,5
1,mj1berj703,68.0,2,2,2,0.0,2,1,2,1,5
1,mj1berj703,68.0,1,2,2,5.0,1,2,2,1,1
1,mj1berj703,69.0,1,2,1,0.0,2,1,1,2,5
1,mj1berj703,69.0,1,2,1,0.0,1,2,1,2,1
1,mj1berj703,70.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,70.0,1,1,2,0.0,1,2,1,2,5
1,mj1berj703,71.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,71.0,2,2,2,0.0,1,2,1,2,5
1,mj1berj703,72.0,2,1,1,0.0,2,1,2,1,1
1,mj1berj703,72.0,2,2,2,1.0,2,1,1,2,5
1,mj1berj703,73.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,73.0,2,2,2,0.0,1,2,1,2,5
1,mj1berj703,74.0,2,2,2,5.0,2,1,2,1,5
1,mj1berj703,74.0,1,2,2,0.0,2,1,2,1,1
1,mj1berj703,75.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,75.0,1,1,2,0.0,1,2,2,1,5
1,mj1berj703,76.0,1,1,2,0.0,1,2,2,1,1
1,mj1berj703,76.0,2,2,2,5.0,2,1,2,1,5
1,mj1berj703,77.0,1,2,1,5.0,1,2,2,1,5
1,mj1berj703,77.0,2,2,1,1.0,1,2,1,2,1
1,mj1berj703,78.0,1,2,1,1.0,1,2,1,2,5
1,mj1berj703,78.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,79.0,2,2,1,5.0,1,2,2,1,5
1,mj1berj703,79.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,80.0,2,2,1,1.0,1,2,1,2,1
1,mj1berj703,80.0,1,1,1,5.0,1,2,2,1,5
1,mj1berj703,81.0,1,2,1,5.0,1,2,2,1,1
1,mj1berj703,81.0,2,1,2,0.0,1,2,1,2,5
1,mj1berj703,82.0,2,2,1,0.0,1,2,2,1,5
1,mj1berj703,82.0,2,2,1,0.0,1,2,2,1,1
1,mj1berj703,83.0,2,2,2,5.0,1,2,2,1,1
1,mj1berj703,83.0,1,1,2,0.0,1,2,2,1,5
1,mj1berj703,84.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,84.0,2,2,1,5.0,1,2,2,1,5
1,mj1berj703,85.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,85.0,1,2,1,5.0,1,2,2,1,5
1,mj1berj703,86.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,86.0,1,1,2,0.0,2,1,2,1,5
1,mj1berj703,87.0,2,1,2,0.0,1,2,2,1,5
1,mj1berj703,87.0,1,2,2,0.0,1,2,1,2,1
1,mj1berj703,88.0,2,2,2,5.0,1,2,2,1,5
1,mj1berj703,88.0,1,2,1,0.0,1,2,2,1,1
1,mj1berj703,89.0,2,1,2,5.0,1,2,2,1,5
1,mj1berj703,89.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,90.0,1,2,2,1.0,2,1,1,2,1
