day,subject,trial,s1,s2,c,r,stim_l,stim_r,stake,s1L
1,21v1or0p00,59.0,1,1.0,1,3.0,2,1,1,0
1,21v1or0p00,60.0,4,4.0,4,4.2,3,4,5,1
1,21v1or0p00,60.0,2,2.0,4,18.0,3,4,1,1
1,21v1or0p00,61.0,4,4.0,4,1.8,3,4,5,1
1,21v1or0p00,61.0,2,2.0,4,15.0,3,4,1,1
1,21v1or0p00,62.0,2,2.0,4,18.0,3,4,1,1
1,21v1or0p00,62.0,3,3.0,1,0.0,2,1,5,0
1,21v1or0p00,63.0,1,1.0,1,9.0,2,1,1,0
1,21v1or0p00,63.0,4,3.0,3,0.0,4,3,5,0
1,21v1or0p00,64.0,4,4.0,4,0.0,3,4,5,1
1,21v1or0p00,64.0,2,2.0,4,21.0,3,4,1,1
1,21v1or0p00,65.0,4,4.0,4,0.6,3,4,5,1
1,21v1or0p00,65.0,1,2.0,2,27.0,1,2,1,1
1,21v1or0p00,66.0,3,4.0,2,0.0,1,2,5,1
1,21v1or0p00,66.0,1,1.0,1,21.0,2,1,1,0
1,21v1or0p00,67.0,4,,,-1.0,3,4,5,1
1,21v1or0p00,67.0,2,,,-1.0,4,3,1,0
1,21v1or0p00,68.0,4,3.0,3,5.4,3,4,5,1
1,21v1or0p00,68.0,2,2.0,4,21.0,4,3,1,0
1,21v1or0p00,69.0,3,3.0,1,3.0,1,2,5,1
1,21v1or0p00,69.0,1,2.0,2,27.0,2,1,1,0
1,21v1or0p00,70.0,1,2.0,2,18.0,2,1,1,0
1,21v1or0p00,70.0,3,4.0,2,2.4,2,1,5,0
1,21v1or0p00,71.0,4,4.0,4,0.6,4,3,5,0
1,21v1or0p00,71.0,1,2.0,2,18.0,2,1,1,0
1,21v1or0p00,72.0,3,3.0,1,3.0,1,2,5,1
1,21v1or0p00,72.0,1,1.0,1,6.0,1,2,1,1
1,21v1or0p00,73.0,4,3.0,3,3.6,3,4,5,1
1,21v1or0p00,73.0,1,2.0,2,24.0,2,1,1,0
1,21v1or0p00,74.0,4,3.0,3,1.2,3,4,5,1
1,21v1or0p00,74.0,2,1.0,3,9.0,3,4,1,1
1,21v1or0p00,75.0,3,4.0,2,1.2,2,1,5,0
1,21v1or0p00,75.0,2,2.0,4,27.0,4,3,1,0
1,21v1or0p00,76.0,4,4.0,4,1.8,4,3,5,0
1,21v1or0p00,76.0,1,1.0,1,3.0,1,2,1,1
1,21v1or0p00,77.0,2,2.0,4,21.0,4,3,1,0
1,21v1or0p00,77.0,4,4.0,4,0.6,4,3,5,0
1,21v1or0p00,78.0,1,1.0,1,15.0,1,2,1,1
1,21v1or0p00,78.0,4,3.0,3,4.2,3,4,5,1
1,21v1or0p00,79.0,4,3.0,3,4.2,3,4,5,1
