day,subject,trial,s1,s2,c,r,stim_l,stim_m,stim_r,stake
2,k4r1m3br02,55.0,3,4.0,2,9.0,2,3,1,5
2,k4r1m3br02,56.0,2,2.0,4,7.0,3,,4,1
2,k4r1m3br02,56.0,3,4.0,2,9.0,2,1,3,5
2,k4r1m3br02,57.0,3,4.0,2,5.0,1,3,2,5
2,k4r1m3br02,57.0,2,1.0,3,8.0,4,,3,1
2,k4r1m3br02,58.0,2,1.0,3,5.0,4,,3,1
2,k4r1m3br02,58.0,4,5.0,6,4.0,4,5,6,5
2,k4r1m3br02,59.0,3,3.0,1,9.0,1,2,3,5
2,k4r1m3br02,59.0,2,1.0,3,5.0,3,,4,1
2,k4r1m3br02,60.0,3,3.0,1,8.0,1,3,2,5
2,k4r1m3br02,60.0,2,1.0,3,6.0,3,,4,1
2,k4r1m3br02,61.0,1,2.0,2,2.0,2,,1,1
2,k4r1m3br02,61.0,3,4.0,2,6.0,3,1,2,5
2,k4r1m3br02,62.0,1,1.0,1,5.0,1,,2,1
2,k4r1m3br02,62.0,3,3.0,1,7.0,3,2,1,5
2,k4r1m3br02,63.0,4,3.0,4,7.0,5,6,4,5
2,k4r1m3br02,63.0,2,1.0,3,9.0,3,,4,1
2,k4r1m3br02,64.0,4,3.0,4,8.0,4,5,6,5
2,k4r1m3br02,64.0,2,2.0,4,3.0,3,,4,1
2,k4r1m3br02,65.0,2,2.0,4,1.0,3,,4,1
2,k4r1m3br02,65.0,3,3.0,1,9.0,1,3,2,5
2,k4r1m3br02,66.0,1,1.0,1,6.0,1,,2,1
2,k4r1m3br02,66.0,3,3.0,1,8.0,1,3,2,5
2,k4r1m3br02,67.0,3,3.0,1,6.0,2,1,3,5
2,k4r1m3br02,67.0,2,2.0,4,1.0,3,,4,1
2,k4r1m3br02,68.0,2,2.0,4,2.0,3,,4,1
2,k4r1m3br02,68.0,4,4.0,5,1.0,5,4,6,5
2,k4r1m3br02,69.0,3,3.0,1,7.0,2,3,1,5
2,k4r1m3br02,69.0,1,1.0,1,1.0,2,,1,1
2,k4r1m3br02,70.0,1,1.0,1,6.0,2,,1,1
2,k4r1m3br02,70.0,3,5.0,3,3.0,2,1,3,5
2,k4r1m3br02,71.0,3,4.0,2,0.0,3,1,2,5
2,k4r1m3br02,71.0,2,2.0,4,4.0,3,,4,1
2,k4r1m3br02,72.0,4,5.0,6,2.0,4,6,5,5
2,k4r1m3br02,72.0,1,1.0,1,9.0,1,,2,1
2,k4r1m3br02,73.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,73.0,4,5.0,6,0.0,6,5,4,5
2,k4r1m3br02,74.0,1,2.0,2,0.0,2,,1,1
2,k4r1m3br02,74.0,4,4.0,5,0.0,4,6,5,5
2,k4r1m3br02,75.0,3,5.0,3,3.0,2,3,1,5
2,k4r1m3br02,75.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,76.0,4,5.0,6,5.0,4,6,5,5
2,k4r1m3br02,76.0,1,1.0,1,8.0,1,,2,1
2,k4r1m3br02,77.0,4,5.0,6,4.0,6,5,4,5
2,k4r1m3br02,77.0,2,1.0,3,6.0,3,,4,1
2,k4r1m3br02,78.0,1,2.0,2,0.0,2,,1,1
2,k4r1m3br02,78.0,4,3.0,4,8.0,5,4,6,5
2,k4r1m3br02,79.0,4,3.0,4,8.0,5,4,6,5
2,k4r1m3br02,79.0,1,1.0,1,1.0,1,,2,1
2,k4r1m3br02,80.0,3,4.0,2,3.0,3,1,2,5
2,k4r1m3br02,80.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,81.0,1,1.0,1,1.0,2,,1,1
2,k4r1m3br02,81.0,3,3.0,1,7.0,2,3,1,5
2,k4r1m3br02,82.0,4,4.0,5,1.0,4,6,5,5
2,k4r1m3br02,82.0,2,1.0,3,0.0,4,,3,1
2,k4r1m3br02,83.0,1,1.0,1,2.0,2,,1,1
2,k4r1m3br02,83.0,3,3.0,1,4.0,3,2,1,5
2,k4r1m3br02,84.0,2,1.0,3,0.0,4,,3,1
2,k4r1m3br02,84.0,4,4.0,5,0.0,4,6,5,5
2,k4r1m3br02,85.0,2,2.0,4,4.0,3,,4,1
2,k4r1m3br02,85.0,4,4.0,5,0.0,4,6,5,5
2,k4r1m3br02,86.0,3,5.0,3,0.0,3,1,2,5
2,k4r1m3br02,86.0,2,2.0,4,9.0,3,,4,1
2,k4r1m3br02,87.0,3,4.0,2,1.0,2,3,1,5
2,k4r1m3br02,87.0,1,2.0,2,8.0,2,,1,1
2,k4r1m3br02,88.0,2,2.0,4,4.0,4,,3,1
2,k4r1m3br02,88.0,4,5.0,6,1.0,6,4,5,5
2,k4r1m3br02,89.0,4,5.0,6,0.0,6,4,5,5
2,k4r1m3br02,89.0,1,1.0,1,1.0,2,,1,1
2,k4r1m3br02,90.0,1,1.0,1,0.0,1,,2,1
2,k4r1m3br02,90.0,3,5.0,3,0.0,3,1,2,5
2,k4r1m3br02,91.0,3,5.0,3,2.0,3,2,1,5
2,k4r1m3br02,91.0,1,2.0,2,4.0,1,,2,1
2,k4r1m3br02,92.0,1,2.0,2,4.0,1,,2,1
2,k4r1m3br02,92.0,3,3.0,1,0.0,1,3,2,5
2,k4r1m3br02,93.0,4,4.0,5,6.0,4,5,6,5
2,k4r1m3br02,93.0,1,1.0,1,0.0,1,,2,1
2,k4r1m3br02,94.0,4,5.0,6,8.0,4,5,6,5
2,k4r1m3br02,94.0,1,2.0,2,4.0,2,,1,1
2,k4r1m3br02,95.0,1,2.0,2,1.0,2,,1,1
2,k4r1m3br02,95.0,3,4.0,2,6.0,2,3,1,5
2,k4r1m3br02,96.0,2,1.0,3,3.0,4,,3,1
2,k4r1m3br02,96.0,3,4.0,2,3.0,3,1,2,5
2,k4r1m3br02,97.0,3,4.0,2,3.0,3,1,2,5
2,k4r1m3br02,97.0,2,2.0,4,6.0,3,,4,1
2,k4r1m3br02,98.0,1,1.0,1,5.0,1,,2,1
2,k4r1m3br02,98.0,4,5.0,6,8.0,6,4,5,5
2,k4r1m3br02,99.0,2,2.0,4,8.0,3,,4,1
2,k4r1m3br02,99.0,4,3.0,4,9.0,4,6,5,5
2,k4r1m3br02,100.0,4,4.0,5,0.0,6,4,5,5
2,k4r1m3br02,100.0,2,2.0,4,9.0,3,,4,1
2,e4khl3b302,1.0,3,4.0,2,0.0,1,3,2,5
2,e4khl3b302,1.0,2,2.0,4,-1.0,3,,4,1
2,e4khl3b302,2.0,3,3.0,1,3.0,2,3,1,5
2,e4khl3b302,2.0,2,1.0,3,2.0,3,,4,1
2,e4khl3b302,3.0,3,4.0,2,0.0,1,3,2,5
2,e4khl3b302,3.0,1,2.0,2,0.0,1,,2,1
2,e4khl3b302,4.0,1,2.0,2,1.0,1,,2,1
2,e4khl3b302,4.0,3,4.0,2,0.0,2,1,3,5
2,e4khl3b302,5.0,4,5.0,6,1.0,4,6,5,5
2,e4khl3b302,5.0,2,2.0,4,2.0,3,,4,1
2,e4khl3b302,6.0,3,4.0,2,2.0,1,3,2,5
2,e4khl3b302,6.0,2,2.0,4,4.0,4,,3,1
2,e4khl3b302,7.0,4,5.0,6,1.0,5,6,4,5
2,e4khl3b302,7.0,1,1.0,1,9.0,2,,1,1
2,e4khl3b302,8.0,3,3.0,1,2.0,1,3,2,5
2,e4khl3b302,8.0,1,1.0,1,9.0,2,,1,1
2,e4khl3b302,9.0,2,1.0,3,6.0,4,,3,1
2,e4khl3b302,9.0,4,5.0,6,3.0,4,6,5,5
2,e4khl3b302,10.0,3,3.0,1,1.0,3,1,2,5
2,e4khl3b302,10.0,1,2.0,2,4.0,1,,2,1
2,e4khl3b302,11.0,4,5.0,6,0.0,6,5,4,5
2,e4khl3b302,11.0,2,1.0,3,7.0,3,,4,1
2,e4khl3b302,12.0,3,3.0,1,0.0,3,1,2,5
2,e4khl3b302,12.0,1,2.0,2,6.0,2,,1,1
2,e4khl3b302,13.0,1,2.0,2,5.0,2,,1,1
2,e4khl3b302,13.0,3,4.0,2,0.0,1,3,2,5
2,e4khl3b302,14.0,3,3.0,1,0.0,3,1,2,5
2,e4khl3b302,14.0,2,2.0,4,8.0,4,,3,1
2,e4khl3b302,15.0,3,5.0,3,1.0,2,3,1,5
2,e4khl3b302,15.0,2,1.0,3,8.0,3,,4,1
2,e4khl3b302,16.0,3,3.0,1,2.0,3,1,2,5
2,e4khl3b302,16.0,1,1.0,1,9.0,2,,1,1
2,e4khl3b302,17.0,1,2.0,2,4.0,2,,1,1
2,e4khl3b302,17.0,4,4.0,5,0.0,4,6,5,5
2,e4khl3b302,18.0,3,4.0,2,0.0,3,2,1,5
2,e4khl3b302,18.0,1,2.0,2,4.0,1,,2,1
2,e4khl3b302,19.0,2,1.0,3,8.0,4,,3,1
2,e4khl3b302,19.0,4,4.0,5,0.0,5,4,6,5
2,e4khl3b302,20.0,2,1.0,3,6.0,4,,3,1
2,e4khl3b302,20.0,3,4.0,2,1.0,1,2,3,5
2,e4khl3b302,21.0,1,1.0,1,9.0,1,,2,1
2,e4khl3b302,21.0,4,4.0,5,2.0,5,6,4,5
2,e4khl3b302,22.0,2,2.0,4,4.0,3,,4,1
2,e4khl3b302,22.0,3,4.0,2,3.0,2,3,1,5
2,e4khl3b302,23.0,3,5.0,3,9.0,1,2,3,5
2,e4khl3b302,23.0,2,1.0,3,8.0,4,,3,1
2,e4khl3b302,24.0,2,1.0,3,6.0,3,,4,1
2,e4khl3b302,24.0,4,5.0,6,3.0,4,6,5,5
2,e4khl3b302,25.0,1,1.0,1,9.0,2,,1,1
2,e4khl3b302,25.0,4,5.0,6,4.0,6,5,4,5
2,e4khl3b302,26.0,3,5.0,3,4.0,1,2,3,5
2,e4khl3b302,26.0,1,1.0,1,8.0,1,,2,1
2,e4khl3b302,27.0,3,4.0,2,6.0,3,2,1,5
2,e4khl3b302,27.0,1,1.0,1,5.0,2,,1,1
2,e4khl3b302,28.0,4,4.0,5,9.0,5,6,4,5
2,e4khl3b302,28.0,1,2.0,2,2.0,1,,2,1
2,e4khl3b302,29.0,2,1.0,3,5.0,3,,4,1
2,e4khl3b302,29.0,3,4.0,2,4.0,3,1,2,5
2,e4khl3b302,30.0,4,4.0,5,5.0,6,5,4,5
2,e4khl3b302,30.0,1,2.0,2,2.0,2,,1,1
2,e4khl3b302,31.0,3,5.0,3,0.0,2,1,3,5
2,e4khl3b302,31.0,2,2.0,4,0.0,4,,3,1
2,e4khl3b302,32.0,2,1.0,3,6.0,3,,4,1
2,e4khl3b302,32.0,4,5.0,6,4.0,4,6,5,5
2,e4khl3b302,33.0,1,1.0,1,4.0,1,,2,1
