"t","s1","s2","c","r","rep1","rep2","resp1","resp2","stake","s1L"
188,2,3,1,45,0,1,0,1,5,0
189,1,3,1,7,0,0,1,0,1,0
190,1,4,2,2,1,0,1,0,1,0
191,2,4,2,25,0,0,0,1,5,1
192,2,3,1,7,0,1,0,0,1,0
193,1,3,1,35,0,0,0,0,5,1
194,1,4,2,25,1,0,0,0,5,0
195,2,4,2,4,0,0,0,0,1,0
196,1,3,1,30,0,1,0,1,5,0
197,1,3,1,6,0,0,1,0,1,1
198,1,4,2,1,1,0,0,0,1,0
199,2,4,2,0,0,0,0,0,5,1
200,2,3,1,8,0,1,0,0,1,1
